Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
133,133,28-Aug,@,CIN,"L,7-9",39,37,7,11,2,0,2,7,2,0,7,0,0,0,0,0,0,0,0.251,0.318,0.418,0.736,5,18,R,A.DeSclafani (49)
134,134,29-Aug,@,CIN,"W,13-12",53,50,13,22,4,1,4,13,1,0,13,1,0,1,1,1,1,0,0.253,0.32,0.422,0.742,10,18,R,M.Harvey (26)
135,135,30-Aug,@,CIN,"W,2-1",42,36,2,6,0,0,1,2,5,0,11,1,0,0,0,2,0,0,0.252,0.319,0.421,0.74,7,16,L,C.Reed (52)
136,136,31-Aug,@,WSN,"W,4-1",33,33,4,6,0,0,3,4,0,0,4,0,0,0,0,0,1,0,0.252,0.318,0.421,0.739,2,13,R,T.Roark (47)
137,137,01-Sep,@,WSN,"L,4-5",40,36,4,10,2,0,2,4,4,0,8,0,0,0,0,0,1,0,0.252,0.319,0.421,0.74,9,21,R,S.Strasburg (59)
138,138,02-Sep,@,WSN,"W,9-4",47,36,9,10,2,0,2,9,11,0,5,0,0,0,0,0,0,0,0.252,0.32,0.422,0.742,11,16,R,J.Rodriguez (17)
139,139,03-Sep,,CHC,"W,4-3",38,32,4,7,1,0,0,4,4,0,10,2,0,0,0,0,1,0,0.252,0.32,0.421,0.741,8,18,L,C.Hamels (58)
140,140,04-Sep,,CHC,"W,11-1",46,32,11,11,4,0,0,8,9,0,8,2,0,3,1,1,2,0,0.253,0.321,0.421,0.743,11,17,L,M.Montgomery (50)
141,141,05-Sep,,CHC,"L,4-6",38,34,4,8,1,0,1,4,3,0,7,1,0,0,0,1,0,0,0.253,0.321,0.421,0.742,7,19,L,J.Quintana (59)
142,142,07-Sep,,SFG,"W,4-2",36,28,4,3,1,0,1,4,8,2,13,0,0,0,1,0,0,0,0.252,0.321,0.42,0.741,8,19,L,D.Holland (63)
143,143,08-Sep,,SFG,"W,4-3",32,28,4,5,2,0,2,4,3,0,9,0,0,1,0,0,1,0,0.251,0.321,0.42,0.741,4,16,R,C.Stratton (46)
144,144,09-Sep,,SFG,"W,6-3",33,29,6,5,1,0,1,6,3,1,5,1,0,0,0,0,1,0,0.251,0.321,0.419,0.74,3,18,L,M.Bumgarner (47)
145,145,10-Sep,@,CHC,"W,3-2",39,33,3,11,2,0,0,2,5,0,9,0,0,1,0,2,1,1,0.251,0.321,0.419,0.74,9,16,L,J.Lester (46)
146,146,11-Sep,@,CHC,"L,0-3",32,30,0,3,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0.251,0.32,0.417,0.737,5,18,L,J.Quintana (73)
147,147,12-Sep,@,CHC,"W,5-1",43,36,5,11,1,1,1,5,4,0,8,2,0,1,0,1,3,0,0.251,0.321,0.418,0.738,11,20,R,K.Hendricks (53)
148,148,14-Sep,,PIT,"W,7-4",37,33,7,11,3,0,3,7,3,1,9,0,0,1,0,1,3,0,0.251,0.321,0.419,0.741,6,18,R,C.Archer (45)
149,149,15-Sep,,PIT,"L,1-3",35,33,1,7,1,0,1,1,2,0,8,0,0,0,0,1,0,0,0.251,0.321,0.419,0.74,7,19,R,I.Nova (63)
150,150,16-Sep,,PIT,"L,2-3",34,32,2,5,2,0,2,2,2,0,9,0,0,0,0,0,0,0,0.251,0.32,0.419,0.739,5,17,R,T.Williams (73)
