Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
70,70,16-Jun,,CIN,"W,6-2",36,32,6,10,4,0,3,6,3,1,3,0,1,0,0,0,0,0,0.253,0.324,0.416,0.74,6,13,R,L.Castillo (43)
71,71,17-Jun,,CIN,"L,6-8",39,37,6,11,1,0,2,6,2,0,9,0,0,0,0,0,0,0,0.254,0.325,0.417,0.741,6,16,R,A.DeSclafani (58)
72,72,18-Jun,,MIL,"W,1-0",31,28,1,7,1,0,0,1,3,0,4,0,0,0,0,1,0,2,0.254,0.325,0.415,0.74,6,12,R,J.Chacin (57)
73,73,19-Jun,,MIL,"L,2-3",35,33,2,5,1,0,1,2,2,0,13,0,0,0,1,0,0,0,0.252,0.323,0.413,0.736,6,14,R,F.Peralta (75)
74,74,21-Jun,,ARI,"L,3-9",37,32,3,8,1,0,0,3,4,0,6,0,0,1,0,2,0,0,0.252,0.323,0.412,0.735,7,16,R,Z.Godley (56)
75,75,22-Jun,,ARI,"L,1-2",49,42,1,4,0,0,0,0,6,1,17,0,1,0,1,1,1,0,0.25,0.321,0.406,0.727,9,18,L,P.Corbin (83)
76,76,23-Jun,,ARI,"L,2-7",35,34,2,7,0,0,0,2,0,0,8,1,0,0,0,0,1,0,0.249,0.32,0.404,0.724,6,14,R,Z.Greinke (75)
77,77,24-Jun,,ARI,"L,0-3",30,30,0,5,2,0,0,0,0,0,9,0,0,0,0,2,0,0,0.248,0.318,0.402,0.72,3,13,R,C.Buchholz (68)
78,78,25-Jun,@,NYM,"W,6-4",42,35,6,8,1,0,2,6,5,1,7,0,0,2,2,0,2,0,0.248,0.318,0.402,0.72,9,15,R,S.Lugo (48)
79,79,26-Jun,@,NYM,"L,3-4",40,37,3,8,1,0,1,3,2,0,7,1,0,0,0,1,0,0,0.248,0.318,0.401,0.719,7,16,L,S.Matz (60)
80,80,27-Jun,@,NYM,"W,5-3",40,36,5,12,1,0,0,5,2,0,10,0,0,2,0,1,1,0,0.249,0.318,0.401,0.719,8,13,R,Z.Wheeler (73)
81,81,29-Jun,@,SDP,"W,6-3",38,36,6,11,3,0,1,5,0,0,8,1,1,0,1,0,1,0,0.249,0.318,0.402,0.72,5,14,L,E.Lauer (34)
82,82,30-Jun,@,SDP,"L,3-4",37,33,3,7,4,1,0,3,4,0,10,0,0,0,0,1,0,0,0.249,0.318,0.401,0.719,7,13,L,J.Lucchesi (66)
83,83,01-Jul,@,SDP,"W,7-5",39,36,7,9,2,0,3,7,3,0,5,0,0,0,1,1,1,0,0.249,0.318,0.403,0.721,5,17,R,T.Ross (22)
84,84,02-Jul,@,LAD,"L,1-17",33,33,1,9,1,0,1,1,0,0,4,0,0,0,1,1,0,1,0.249,0.317,0.403,0.721,5,15,L,A.Wood (59)
85,85,03-Jul,@,LAD,"L,3-8",31,31,3,5,2,0,1,3,0,0,9,0,0,0,0,1,0,0,0.248,0.316,0.402,0.718,1,13,L,C.Kershaw (58)
86,86,04-Jul,@,LAD,"L,4-6",37,35,4,9,2,0,1,4,2,0,11,0,0,0,0,1,0,0,0.248,0.316,0.402,0.718,6,17,L,R.Hill (55)
87,87,06-Jul,,PHI,"L,5-17",45,39,5,12,3,1,0,5,4,0,8,2,0,0,1,1,4,0,0.249,0.317,0.403,0.72,13,19,R,N.Pivetta (40)
88,88,07-Jul,,PHI,"L,2-3",36,35,2,8,1,0,1,2,1,0,12,0,0,0,0,0,0,0,0.249,0.316,0.402,0.718,7,14,R,J.Arrieta (64)
89,89,08-Jul,,PHI,"W,4-1",35,33,4,9,3,0,0,4,2,0,6,0,0,0,1,1,4,0,0.249,0.316,0.402,0.718,7,13,R,D.Anderson (38)
90,90,09-Jul,,WSN,"W,6-3",37,31,6,8,3,1,1,6,5,1,6,0,1,0,0,0,2,0,0.249,0.316,0.403,0.719,7,13,R,J.Rodriguez (27)
91,91,10-Jul,,WSN,"L,1-5",37,34,1,7,0,0,0,1,3,0,7,0,0,0,0,0,0,0,0.249,0.316,0.401,0.717,9,16,R,J.Hellickson (65)
92,92,11-Jul,,WSN,"W,2-0",31,29,2,7,2,0,1,2,1,0,6,0,1,0,0,0,0,1,0.249,0.316,0.401,0.716,5,15,L,G.Gonzalez (55)
93,93,12-Jul,,MIL,"W,6-3",39,31,6,9,1,0,0,6,8,0,6,0,0,0,1,2,1,0,0.249,0.317,0.4,0.717,9,15,L,W.Miley (51)
94,94,13-Jul,,MIL,"W,7-3",36,33,7,12,4,1,1,6,2,0,7,0,0,1,0,1,1,0,0.25,0.318,0.403,0.72,5,12,R,J.Guerra (22)
95,95,Jul 14 (1),,MIL,"W,2-1",33,30,2,7,0,0,2,2,3,0,8,0,0,0,0,0,0,1,0.25,0.317,0.403,0.72,7,14,R,C.Anderson (50)
96,96,Jul 14 (2),,MIL,"W,6-2",34,32,6,8,1,0,5,6,2,0,8,0,0,0,0,0,0,0,0.25,0.317,0.406,0.723,4,13,L,B.Suter (61)
97,97,15-Jul,,MIL,"W,7-6",42,38,7,10,2,1,1,6,2,0,7,1,1,0,1,1,1,0,0.25,0.317,0.407,0.724,6,15,R,J.Chacin (60)
98,98,20-Jul,@,CIN,"W,12-1",47,41,12,16,1,1,3,11,5,1,4,0,1,0,1,2,0,0,0.252,0.319,0.41,0.729,8,14,R,T.Mahle (29)
99,99,21-Jul,@,CIN,"W,6-2",40,37,6,12,4,0,2,5,2,1,8,0,1,0,0,0,1,0,0.253,0.319,0.412,0.732,7,13,R,A.DeSclafani (43)
100,100,22-Jul,@,CIN,"W,9-2",42,40,9,15,3,0,4,9,0,0,7,0,2,0,0,0,0,0,0.254,0.32,0.416,0.736,6,11,R,M.Harvey (15)
101,101,23-Jul,@,CLE,"W,7-0",28,27,7,10,1,1,1,7,1,0,4,0,0,0,1,2,0,0,0.255,0.321,0.418,0.738,3,9,R,C.Kluber (25)
102,102,24-Jul,@,CLE,"W,9-4",40,39,9,14,1,1,3,9,1,0,8,0,0,0,0,2,0,0,0.256,0.321,0.42,0.741,4,10,R,S.Bieber (15)
103,103,25-Jul,@,CLE,"L,0-4",32,29,0,3,1,0,0,0,2,0,13,1,0,0,1,1,0,1,0.255,0.32,0.418,0.738,5,10,R,T.Bauer (81)
104,104,26-Jul,,NYM,"L,6-12",37,33,6,7,3,1,2,6,4,0,10,0,0,0,1,2,0,0,0.255,0.32,0.419,0.739,4,13,L,S.Matz (57)
105,105,27-Jul,,NYM,"W,5-4",41,33,5,10,0,0,1,5,8,1,6,0,0,0,0,1,0,0,0.255,0.321,0.419,0.74,12,15,L,J.Vargas (45)
106,106,28-Jul,,NYM,"W,5-0",36,34,5,11,3,0,0,5,1,0,6,0,1,0,0,0,2,0,0.256,0.321,0.419,0.74,7,14,R,J.deGrom (54)
107,107,29-Jul,,NYM,"L,0-1",33,32,0,6,0,0,0,0,1,0,10,0,0,0,0,0,2,1,0.255,0.32,0.417,0.737,6,12,R,Z.Wheeler (68)
108,108,31-Jul,,CHC,"W,5-4",33,30,5,8,3,0,2,5,3,0,5,0,0,0,0,1,0,0,0.255,0.32,0.418,0.738,4,13,L,J.Lester (37)
109,109,01-Aug,,CHC,"L,2-9",38,32,2,7,0,0,0,2,4,0,11,1,0,0,1,2,0,1,0.255,0.32,0.416,0.737,9,16,L,C.Hamels (66)
110,110,03-Aug,,STL,"W,7-6",38,34,7,12,2,1,0,7,2,0,8,0,0,2,0,0,0,0,0.256,0.321,0.417,0.738,7,17,R,J.Gant (26)
111,111,04-Aug,,STL,"L,4-8",38,34,4,8,2,0,1,4,4,2,7,0,0,0,0,1,0,0,0.256,0.321,0.417,0.737,7,13,L,A.Gomber (34)
112,112,05-Aug,,STL,"L,1-2",34,30,1,5,1,0,1,1,2,0,11,1,1,0,0,1,0,0,0.255,0.32,0.416,0.736,6,17,R,J.Flaherty (72)
113,113,06-Aug,@,COL,"L,0-2",32,28,0,2,1,0,0,0,3,0,8,1,0,0,0,1,0,0,0.254,0.319,0.413,0.733,5,11,L,K.Freeland (75)
114,114,07-Aug,@,COL,"W,10-2",39,35,10,10,1,0,3,10,2,0,9,0,0,2,0,0,0,0,0.254,0.319,0.415,0.734,2,10,R,C.Bettis (13)
115,115,08-Aug,@,COL,"W,4-3",43,37,4,11,4,0,0,4,5,2,11,0,0,1,1,0,3,0,0.254,0.32,0.415,0.734,12,16,R,G.Marquez (48)
116,116,09-Aug,@,SFG,"W,10-5",42,40,10,14,2,0,3,10,1,0,6,0,0,1,2,1,1,0,0.255,0.32,0.417,0.737,5,14,L,A.Suarez (45)
117,117,10-Aug,@,SFG,"L,10-13",46,44,10,17,3,1,2,10,2,0,8,0,0,0,0,0,0,0,0.257,0.321,0.419,0.74,9,17,L,D.Holland (39)
118,118,11-Aug,@,SFG,"W,4-0",34,30,4,6,0,0,1,4,2,0,8,0,1,1,0,1,0,0,0.256,0.32,0.418,0.739,3,12,L,T.Blach (41)
119,119,12-Aug,@,SFG,"L,3-4",33,31,3,4,3,0,0,3,2,0,8,0,0,0,0,0,0,0,0.255,0.319,0.417,0.736,3,13,R,D.Rodriguez (72)
120,120,14-Aug,@,MIN,"L,2-5",36,33,2,7,2,0,0,2,3,0,12,0,0,0,0,1,0,0,0.255,0.319,0.416,0.735,7,10,R,J.Odorizzi (60)
121,121,15-Aug,@,MIN,"L,4-6",43,38,4,12,1,0,1,3,4,0,8,1,0,0,0,1,0,0,0.256,0.32,0.416,0.736,12,10,R,J.Berrios (35)
122,122,16-Aug,,CHC,"L,0-1",32,31,0,6,0,0,0,0,0,0,10,1,0,0,0,1,0,1,0.255,0.319,0.414,0.733,5,14,L,J.Lester (70)
123,123,17-Aug,,CHC,"L,0-1",31,27,0,7,0,0,0,0,3,0,4,1,0,0,0,6,1,0,0.255,0.319,0.413,0.732,4,14,L,C.Hamels (68)
124,124,18-Aug,,CHC,"W,3-1",34,29,3,8,2,0,0,3,4,0,6,0,0,1,0,2,0,0,0.255,0.32,0.413,0.732,7,13,R,T.Chatwood (37)
125,125,19-Aug,,CHC,"W,2-1",45,38,2,8,4,0,1,2,5,0,7,2,0,0,1,1,0,1,0.255,0.32,0.412,0.732,11,16,L,J.Quintana (57)
126,126,20-Aug,,ATL,"L,0-1",35,31,0,7,2,0,0,0,4,0,8,0,0,0,0,2,1,0,0.255,0.32,0.412,0.731,8,17,R,B.Wilson (63)
127,127,21-Aug,,ATL,"L,1-6",33,31,1,5,1,0,1,1,2,0,7,0,0,0,0,1,0,0,0.254,0.319,0.411,0.73,5,13,R,K.Gausman (77)
128,128,22-Aug,,ATL,"L,1-2",31,29,1,3,1,0,0,1,2,0,7,0,0,0,0,0,0,0,0.253,0.318,0.409,0.727,3,15,R,J.Teheran (73)
129,129,24-Aug,@,MIL,"L,6-7",70,60,6,17,4,0,0,5,7,3,17,1,1,1,1,1,1,0,0.253,0.319,0.408,0.727,19,20,L,W.Miley (42)
130,130,25-Aug,@,MIL,"W,9-1",45,39,9,14,5,1,1,8,6,2,9,0,0,0,0,1,0,1,0.254,0.32,0.41,0.73,9,14,R,J.Chacin (47)
131,131,26-Aug,@,MIL,"L,4-7",35,34,4,8,2,0,2,4,0,0,5,1,0,0,2,0,0,1,0.254,0.319,0.41,0.73,4,15,R,C.Anderson (40)
132,132,28-Aug,@,STL,"L,2-5",32,29,2,6,1,0,0,1,2,0,5,1,0,0,0,3,0,0,0.254,0.319,0.409,0.728,3,12,R,J.Flaherty (70)
133,133,29-Aug,@,STL,"W,2-0",37,35,2,10,2,0,0,2,1,0,7,0,1,0,1,2,0,0,0.254,0.319,0.409,0.728,8,14,R,M.Mikolas (47)
134,134,30-Aug,@,STL,"L,0-5",39,33,0,6,1,0,0,0,6,0,11,0,0,0,1,1,0,0,0.254,0.319,0.407,0.726,12,13,R,J.Gant (66)
135,135,31-Aug,@,ATL,"W,3-2",35,33,3,7,1,0,0,3,2,0,8,0,0,0,2,0,2,2,0.253,0.318,0.406,0.724,5,13,R,A.Sanchez (57)
136,136,01-Sep,@,ATL,"L,3-5",33,32,3,5,1,0,1,3,0,0,6,1,0,0,1,0,1,1,0.253,0.317,0.405,0.723,3,13,R,K.Gausman (58)
137,137,02-Sep,@,ATL,"L,1-5",33,31,1,5,0,0,0,1,2,0,5,0,0,0,1,2,1,0,0.252,0.317,0.404,0.72,5,13,R,J.Teheran (68)
138,138,03-Sep,,CIN,"W,5-1",33,33,5,9,1,0,2,5,0,0,6,0,0,0,1,1,0,0,0.252,0.317,0.404,0.721,4,13,R,M.Harvey (49)
139,139,04-Sep,,CIN,"W,7-3",36,33,7,12,3,0,1,7,1,0,5,0,1,1,0,0,2,0,0.253,0.317,0.405,0.722,5,13,L,C.Reed (26)
140,140,05-Sep,,CIN,"W,3-2",32,28,3,6,1,0,0,3,2,0,5,2,0,0,0,1,1,0,0.253,0.317,0.404,0.721,5,13,R,H.Bailey (46)
141,141,07-Sep,,MIA,"W,5-3",34,33,5,9,4,0,2,5,1,0,8,0,0,0,0,0,1,0,0.253,0.317,0.405,0.722,5,16,R,D.Straily (52)
142,142,08-Sep,,MIA,"W,5-1",35,31,5,9,4,0,1,4,3,0,9,1,0,0,0,1,0,0,0.253,0.317,0.406,0.723,6,13,L,W.Chen (44)
143,143,10-Sep,@,STL,"L,7-8",40,39,7,13,1,0,3,7,1,0,8,0,0,0,0,1,0,0,0.254,0.317,0.408,0.725,6,16,R,A.Wainwright (40)
144,144,11-Sep,@,STL,"L,5-11",38,36,5,10,5,0,0,5,2,0,8,0,0,0,0,1,0,0,0.254,0.317,0.408,0.725,6,17,R,M.Mikolas (69)
145,145,12-Sep,@,STL,"W,4-3",38,34,4,10,0,0,0,4,2,0,12,0,1,1,0,1,0,0,0.254,0.317,0.407,0.724,7,11,R,D.Poncedeleon (55)
146,146,14-Sep,@,MIL,"L,4-7",40,33,4,7,3,1,1,4,5,0,10,1,0,1,0,0,1,0,0.254,0.317,0.407,0.725,9,15,L,G.Gonzalez (48)
147,147,15-Sep,@,MIL,"W,3-1",34,30,3,5,3,0,0,2,4,0,8,0,0,0,0,0,2,1,0.253,0.317,0.406,0.723,4,14,R,Z.Davies (55)
148,148,16-Sep,@,MIL,"W,3-2",35,28,3,5,2,0,0,3,5,1,8,0,1,1,0,1,0,1,0.253,0.317,0.406,0.722,5,14,R,J.Chacin (54)
