Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
75,75,23-Jun,@,MIL,"W,3-2",35,30,3,4,0,0,2,3,5,0,13,0,0,0,0,1,1,0,0.24,0.312,0.395,0.706,5,14,R,C.Anderson (64)
76,76,24-Jun,@,MIL,"W,8-2",45,35,8,10,4,0,1,8,8,0,11,0,1,1,0,0,0,0,0.24,0.313,0.396,0.709,10,15,R,J.Chacin (13)
77,77,25-Jun,,CLE,"W,4-0",35,33,4,11,4,0,0,4,2,0,5,0,0,0,0,2,1,0,0.242,0.314,0.397,0.71,7,14,R,M.Clevinger (49)
78,78,26-Jun,,CLE,"W,11-2",40,36,11,13,1,0,4,10,2,0,7,0,0,2,1,0,0,0,0.243,0.315,0.401,0.716,5,15,R,C.Kluber (20)
79,79,27-Jun,,CLE,"L,1-5",36,33,1,6,1,0,0,1,1,0,8,2,0,0,0,0,0,0,0.242,0.314,0.399,0.713,8,15,R,S.Bieber (60)
80,80,29-Jun,,ATL,"L,1-5",35,31,1,4,1,0,0,1,4,0,6,0,0,0,0,0,0,0,0.241,0.313,0.396,0.709,7,16,R,J.Teheran (70)
81,81,30-Jun,,ATL,"L,4-11",37,33,4,9,2,0,1,4,3,0,13,0,0,1,0,2,0,0,0.241,0.313,0.396,0.709,6,17,L,M.Fried (74)
82,82,01-Jul,,ATL,"L,5-6",37,33,5,7,1,0,1,5,4,0,11,0,0,0,0,1,1,0,0.241,0.313,0.396,0.708,5,15,R,M.Foltynewicz (71)
83,83,02-Jul,@,ARI,"W,6-3",38,36,6,10,3,0,2,6,2,0,8,0,0,0,0,0,0,0,0.242,0.313,0.397,0.71,5,14,L,R.Ray (31)
84,84,03-Jul,@,ARI,"L,2-4",36,32,2,7,1,0,0,2,3,0,8,0,0,1,0,0,0,0,0.241,0.312,0.396,0.708,7,13,R,Z.Greinke (55)
85,85,04-Jul,@,ARI,"W,8-4",44,39,8,13,4,0,2,8,3,0,7,1,1,0,1,1,1,0,0.243,0.314,0.398,0.712,9,14,L,P.Corbin (60)
86,86,05-Jul,@,SFG,"W,11-2",46,42,11,18,3,0,3,11,3,0,10,0,1,0,0,1,0,0,0.245,0.316,0.403,0.718,8,13,R,J.Cueto (27)
87,87,06-Jul,@,SFG,"L,2-3",32,30,2,5,1,2,0,2,2,1,3,0,0,0,0,2,0,0,0.244,0.315,0.402,0.717,3,12,R,D.Rodriguez (55)
88,88,07-Jul,@,SFG,"W,3-2",37,33,3,7,1,0,0,3,3,0,7,0,0,1,0,0,1,0,0.244,0.314,0.4,0.715,7,13,R,J.Samardzija (43)
89,89,08-Jul,@,SFG,"L,8-13",42,36,8,11,0,0,2,8,4,0,12,1,0,1,0,1,2,0,0.245,0.315,0.401,0.716,7,18,L,M.Bumgarner (42)
90,90,10-Jul,@,CHW,"W,14-2",51,42,14,16,3,0,2,12,8,0,9,0,0,1,1,0,0,0,0.247,0.317,0.404,0.721,10,10,R,D.Covey (34)
91,91,11-Jul,@,CHW,"L,0-4",35,32,0,4,1,0,0,0,3,0,10,0,0,0,1,0,0,0,0.245,0.316,0.401,0.717,8,9,L,C.Rodon (77)
92,92,13-Jul,,CIN,"L,1-9",34,31,1,4,0,0,0,1,3,0,6,0,0,0,0,0,0,0,0.244,0.315,0.399,0.714,6,19,R,M.Harvey (58)
93,93,14-Jul,,CIN,"L,2-8",34,34,2,9,3,0,1,2,0,0,7,0,0,0,0,0,0,0,0.245,0.315,0.399,0.714,5,18,R,L.Castillo (51)
94,94,15-Jul,,CIN,"W,6-4",34,30,6,7,0,0,2,6,2,1,5,1,1,0,0,0,0,0,0.244,0.315,0.399,0.714,4,13,R,A.DeSclafani (28)
95,95,19-Jul,@,CHC,"L,6-9",43,41,6,15,2,0,2,5,1,0,6,1,0,0,0,0,0,0,0.246,0.316,0.401,0.717,10,14,R,K.Hendricks (37)
96,96,20-Jul,@,CHC,"W,18-5",52,41,18,18,5,0,5,18,8,0,2,0,2,1,0,1,0,0,0.248,0.318,0.408,0.726,7,17,L,J.Lester (9)
