Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
120,120,16-Aug,@,PIT,"W,1-0",36,34,1,7,0,0,1,1,1,0,7,1,0,0,0,0,0,0,0.264,0.342,0.419,0.761,8,14,R,I.Nova (59)
121,121,17-Aug,@,PIT,"W,1-0",36,33,1,6,1,0,1,1,3,1,5,0,0,0,3,1,0,1,0.263,0.341,0.418,0.76,8,15,R,T.Williams (67)
122,122,18-Aug,@,PIT,"L,1-3",34,34,1,6,0,0,1,1,0,0,10,0,0,0,2,1,0,0,0.262,0.34,0.417,0.757,6,15,R,J.Musgrove (70)
123,123,19-Aug,@,PIT,"L,1-2",45,38,1,8,3,0,1,1,7,2,15,0,0,0,0,2,1,0,0.262,0.34,0.417,0.757,11,18,R,J.Taillon (63)
124,124,21-Aug,@,DET,"L,1-2",38,35,1,8,0,0,1,1,3,0,9,0,0,0,1,1,1,0,0.262,0.34,0.416,0.756,10,9,R,J.Zimmermann (58)
125,125,22-Aug,@,DET,"W,8-2",41,37,8,11,2,0,3,8,4,0,4,0,0,0,1,1,0,0,0.262,0.34,0.418,0.757,6,10,L,F.Liriano (39)
126,126,23-Aug,,CIN,"W,7-1",38,33,7,12,2,0,2,7,3,1,7,0,1,1,1,0,2,0,0.263,0.34,0.419,0.759,7,10,R,A.DeSclafani (42)
127,127,24-Aug,,CIN,"W,3-2",35,32,3,7,0,0,2,3,3,0,11,0,0,0,0,2,0,1,0.262,0.34,0.419,0.759,4,17,R,M.Harvey (59)
128,128,25-Aug,,CIN,"W,10-6",44,38,10,12,3,0,3,10,5,0,7,1,0,0,2,0,0,0,0.263,0.341,0.421,0.761,10,16,R,L.Castillo (31)
129,129,26-Aug,,CIN,"W,9-0",39,38,9,13,3,1,2,8,1,0,8,0,0,0,1,0,0,0,0.264,0.341,0.422,0.763,6,13,R,H.Bailey (35)
130,130,27-Aug,,NYM,"W,7-4",40,37,7,14,5,0,1,6,3,1,10,0,0,0,0,0,1,1,0.264,0.341,0.424,0.765,9,17,R,N.Syndergaard (41)
131,131,28-Aug,,NYM,"W,2-1",44,39,2,10,0,0,0,2,3,1,13,0,1,1,1,1,0,0,0.264,0.341,0.422,0.763,11,18,R,J.deGrom (71)
132,132,29-Aug,,NYM,"L,3-10",36,32,3,6,1,0,1,3,3,0,11,1,0,0,0,1,0,0,0.264,0.341,0.422,0.762,6,13,L,J.Vargas (60)
133,133,30-Aug,@,ATL,"W,5-4",37,34,5,6,2,0,1,4,2,1,7,1,0,0,0,0,0,0,0.263,0.34,0.421,0.761,5,17,R,M.Foltynewicz (45)
134,134,31-Aug,@,PHI,"L,1-2",41,36,1,9,0,0,1,1,5,0,12,0,0,0,1,2,0,1,0.263,0.34,0.42,0.76,10,14,R,N.Pivetta (56)
135,135,01-Sep,@,PHI,"W,7-1",39,37,7,11,4,1,1,6,1,0,9,0,1,0,1,0,0,1,0.263,0.34,0.421,0.761,5,14,R,Z.Eflin (42)
136,136,02-Sep,@,PHI,"W,8-1",39,34,8,9,1,3,3,8,4,0,13,0,0,1,0,1,0,0,0.263,0.34,0.423,0.763,4,17,R,A.Nola (52)
137,137,03-Sep,@,MIL,"L,3-4",35,33,3,6,0,0,1,2,2,0,11,0,0,0,0,0,2,0,0.263,0.339,0.422,0.761,5,18,R,Z.Davies (61)
138,138,04-Sep,@,MIL,"L,1-11",34,31,1,5,2,0,0,1,1,0,10,1,1,0,1,1,0,0,0.262,0.338,0.421,0.759,6,20,L,W.Miley (67)
